Majority.protein.IDs	Gene.names	quantified	Potential.contaminant	Intensity_Ctrl_acetylated_1	Intensity_Ctrl_acetylated_2	Intensity_Ctrl_acetylated_3	Intensity_GFP_Atg8_acetylated_1	Intensity_GFP_Atg8_acetylated_2	Intensity_GFP_Atg8_acetylated_3	LFQIntensity_Ctrl_acetylated_1	LFQIntensity_Ctrl_acetylated_2	LFQIntensity_Ctrl_acetylated_3	LFQIntensity_GFP_Atg8_acetylated_1	LFQIntensity_GFP_Atg8_acetylated_2	LFQIntensity_GFP_Atg8_acetylated_3	ImputedIntensity_Ctrl_acetylated_1	ImputedIntensity_Ctrl_acetylated_2	ImputedIntensity_Ctrl_acetylated_3	ImputedIntensity_GFP_Atg8_acetylated_1	ImputedIntensity_GFP_Atg8_acetylated_2	ImputedIntensity_GFP_Atg8_acetylated_3	iBAQ_Ctrl_acetylated_1	iBAQ_Ctrl_acetylated_2	iBAQ_Ctrl_acetylated_3	iBAQ_GFP_Atg8_acetylated_1	iBAQ_GFP_Atg8_acetylated_2	iBAQ_GFP_Atg8_acetylated_3	razorUniqueCount_Ctrl_acetylated_1	razorUniqueCount_Ctrl_acetylated_2	razorUniqueCount_Ctrl_acetylated_3	razorUniqueCount_GFP_Atg8_acetylated_1	razorUniqueCount_GFP_Atg8_acetylated_2	razorUniqueCount_GFP_Atg8_acetylated_3	AveExpr_GFP_Atg8_acetylated__vs__Ctrl_acetylated	logFC_GFP_Atg8_acetylated__vs__Ctrl_acetylated	P.Value_GFP_Atg8_acetylated__vs__Ctrl_acetylated	adj.P.Val_GFP_Atg8_acetylated__vs__Ctrl_acetylated
P54115	ALD6	+		28.251325669053724	27.87257108890566	28.109312988577432	28.137312661195928	28.889728702299063	27.713151620984025	25.24354606280703	24.804093296853523	25.092458754814327	25.066802818938893	25.815750715439123	24.676250448395205	24.792489740302408	24.956968144100028	25.41682845770107	25.202703415240933	25.34660466489447	24.983307675009193	26.993450617582113	26.236240862822665	26.48284961654292	26.570812722926142	27.283335911158982	26.108891909543683	12	12	14	14	20	11	25.116483682874684	0.12210980434703345	0.5553277228314946	0.9965342103788666
P54785	MOT3			23.35603440361318	23.022794647862543	23.092896151641984	22.8850638388536	24.104162650873704	22.877108012538923	23.068979954380445	22.627162023541665	22.64344117034622	22.510794947651092	23.749781880977146	22.361607572779725	22.617923631875822	22.78003687078817	22.967810873232963	22.646695543953133	23.280635830432495	22.668664799393714	23.58358617931181	22.871891248949794	22.951859606777713	22.803990727754055	23.98319668690386	22.75827512826882	1	0	1	1	1	1	22.826961258279383	0.07674159929413094		
P54839	ERG13	+		25.249751765349597	24.747015502437506	24.785169267080622	24.642899814414445	25.307073620531668	24.605730775418124	23.459950850255797	22.830133245755903	22.76528700937672	22.854784224457052	23.23361923794676	22.52341706461436	23.008894527751174	22.983008093002407	23.089656712263462	22.990684820759093	22.764473187402107	22.83047429122835	24.15537544616086	23.27418400863739	23.32220462732899	23.23989860842754	23.864179561674465	23.164969796260664	4	4	5	2	7	4	22.94453193873443	-0.16530901120916397	0.20684093292323658	0.9965342103788666
P54860	UFD2				20.646942915482644																		18.233005110736098					0	1	0	0	0	0				
P54885	PRO2	+		22.51674385187159	21.802759506914803	21.30071674551703	21.73432096783244	22.359413920044002	21.553036044874634	21.688942544434017	20.98614924615554	20.45834973614484	20.91903846359347	21.45962097474349	20.73603942490205	21.237886221929394	21.139024093402046	20.78271943903158	21.05493905989551	20.99047492419884	21.043096651516038	21.365784004316485	20.273344484748325	19.78116857739903	20.274736233479167	20.859936332820432	20.055691537350807	0	0	1	1	2	0	21.041356731662237	-0.023706372917544627	0.9061318547450115	0.9965342103788666
P60010	ACT1	+		28.88158840449063	28.250059093093935	28.440282832621957	28.477596843615075	29.177113669918736	28.25329999343913	26.41092887928033	25.744266396447845	25.87357417100778	25.888431771386305	26.558308041529056	25.683128427678486	25.959872556775707	25.89714124369435	26.19794387389452	26.024332367688345	26.089161990984405	25.990185654292475	28.109140180189257	27.09915569418118	27.29924628775769	27.396523732515533	28.056147705948895	27.134467109169027	17	23	21	17	26	19	26.026439614554967	0.016240779533553962	0.893668502915312	0.9965342103788666
P61830	HHT2			22.872437041406297	22.41424599001811	22.06814109049659	21.989563756712684	24.017673959899447	22.570053834587974													24.421916911992284	23.585270685992718	23.249032640519683	23.230418740500504	25.218636090816968	23.773149045205237	1	1	0	0	1	1				
P80967	TOM5			21.972368615447365	21.034285818062745	20.467704844978886	21.426630751347993	22.058090678118166	21.320281350242002													23.9368859853122	22.6203480133162	22.063633894280823	23.082523234414655	23.67409030831453	22.938414060138108	1	0	0	0	1	0				
P89886	TMA20				20.05300683352961	19.920242714160203		20.877971932331878	20.18572308574885														20.05410652806191	19.931209262740982		20.909009061807087	20.2188932949238	0	0	0	0	1	0				
Q00955	ACC1	+		22.765022389894472	22.1590099252458	21.64503423835865	21.95333048302747	22.352058786514522	21.901198358188147	21.94510129167303	21.513681580095763	21.007576338800394	21.162106081890073	21.832943695890982	21.081769152109526	21.494044969168407	21.666556427342268	21.331946041687136	21.298006678192113	21.36379764534633	21.388826378723515	19.325817573708296	18.341349934448246	17.837241101609578	18.205500780043124	18.56433623065988	18.115608882033243	3	3	2	0	1	0	21.423863023409965	-0.14730557864527682	0.3942205773259136	0.9965342103788666
